time,C_ven
0.072,141.7
0.168,121.8
0.24,111.6
0.504,99.7
0.744,97.4
1.008,86.3
1.488,80.3
1.992,58
3,44.4
4.008,22.8
4.992,10.9
6,3.8
7.008,1.4
