time,Ca,Cu,CL_BoNet
3.1,0.004577173,0.398342744,0.000263115
3.125,0.004591347,0.399594982,0.000266704
3.15,0.004605298,0.400827475,0.000270305
3.175,0.00461903,0.402040552,0.000273915
3.2,0.004632545,0.403234534,0.000277537
3.225,0.004645848,0.404409739,0.000281168
3.25,0.004658942,0.405566478,0.00028481
3.275,0.004671831,0.406705059,0.000288462
3.3,0.004684517,0.407825784,0.000292124
3.325,0.004697005,0.408928948,0.000295795
3.35,0.004709298,0.410014844,0.000299476
3.375,0.004721399,0.411083759,0.000303166
3.4,0.00473331,0.412135975,0.000306865
3.425,0.004745036,0.413171769,0.000310574
3.45,0.00475658,0.414191414,0.000314291
3.475,0.004767944,0.415195179,0.000318017
3.5,0.004779131,0.416183327,0.000321752
3.525,0.004790144,0.417156119,0.000325495
3.55,0.004800986,0.418113808,0.000329246
3.575,0.004811661,0.419056646,0.000333006
3.6,0.00482217,0.419984881,0.000336774
3.625,0.004832517,0.420898754,0.000340549
3.65,0.004842704,0.421798504,0.000344333
3.675,0.004852734,0.422684366,0.000348124
3.7,0.00486261,0.42355657,0.000351923
3.725,0.004872334,0.424415344,0.000355729
3.75,0.004881908,0.425260911,0.000359542
3.775,0.004891335,0.42609349,0.000363363
3.8,0.004900618,0.426913297,0.00036719
3.825,0.004909759,0.427720544,0.000371025
3.85,0.00491876,0.428515439,0.000374867
3.875,0.004927624,0.429298189,0.000378715
3.9,0.004936352,0.430068994,0.00038257
3.925,0.004944948,0.430828054,0.000386431
3.95,0.004953413,0.431575562,0.000390299
3.975,0.00496175,0.432311712,0.000394173
4,0.00496996,0.433036692,0.000398053
4.025,0.004978046,0.433750687,0.000401939
4.05,0.004986009,0.434453879,0.000405832
4.075,0.004993853,0.435146449,0.00040973
4.1,0.005001579,0.435828572,0.000413634
4.125,0.005009188,0.436500422,0.000417544
4.15,0.005016683,0.43716217,0.00042146
4.175,0.005024065,0.437813984,0.000425381
4.2,0.005031337,0.438456027,0.000429307
4.225,0.005038501,0.439088463,0.000433239
4.25,0.005045557,0.439711451,0.000437176
4.275,0.005052509,0.440325148,0.000441118
4.3,0.005059357,0.440929709,0.000445066
4.325,0.005066103,0.441525283,0.000449018
4.35,0.00507275,0.442112022,0.000452975
4.375,0.005079298,0.442690072,0.000456937
4.4,0.00508575,0.443259576,0.000460904
4.425,0.005092106,0.443820677,0.000464876
4.45,0.005098369,0.444373513,0.000468852
4.475,0.00510454,0.444918223,0.000472833
4.5,0.005110621,0.445454941,0.000476819
4.525,0.005116613,0.4459838,0.000480809
4.55,0.005122517,0.44650493,0.000484803
4.575,0.005128335,0.447018459,0.000488801
4.6,0.005134069,0.447524513,0.000492804
4.625,0.00513972,0.448023217,0.00049681
4.65,0.005145289,0.448514692,0.000500821
4.675,0.005150777,0.448999058,0.000504836
4.7,0.005156187,0.449476433,0.000508855
4.725,0.005161518,0.449946933,0.000512877
4.75,0.005166773,0.450410672,0.000516904
4.775,0.005171953,0.450867762,0.000520934
4.8,0.005177059,0.451318313,0.000524968
4.825,0.005182093,0.451762434,0.000529006
4.85,0.005187054,0.452200231,0.000533047
4.875,0.005191946,0.452631809,0.000537091
4.9,0.005196768,0.453057272,0.000541139
4.925,0.005201522,0.45347672,0.000545191
4.95,0.005206209,0.453890253,0.000549246
4.975,0.005210831,0.454297969,0.000553304
5,0.005215387,0.454699965,0.000557366
5.025,0.00521988,0.455096335,0.00056143
5.05,0.005224311,0.455487173,0.000565498
5.075,0.00522868,0.45587257,0.000569569
